Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
17:27:40	201		-80 dBm                     -87 dBm                     -77 dBm
17:27:42	202		-81 dBm                     -87 dBm                     -73 dBm
17:27:45	203		-81 dBm                     -87 dBm                     -68 dBm
17:27:47	204		-81 dBm                     -88 dBm                     -70 dBm
17:27:49	205		-81 dBm                     -88 dBm                     -69 dBm
17:27:51	206		-81 dBm                     -88 dBm                     -69 dBm
17:27:54	207		-81 dBm                     -88 dBm                     -74 dBm
17:27:56	208		-81 dBm                     -88 dBm                     -77 dBm
17:27:58	209		-78 dBm                     -88 dBm                     -90 dBm
17:28:01	210		-78 dBm                     -85 dBm                     -77 dBm
17:28:06	211		-79 dBm                     -90 dBm                     -76 dBm
17:28:08	212		-79 dBm                     -85 dBm                     -82 dBm
17:28:11	213		-87 dBm                     -85 dBm                     -85 dBm
17:28:13	214		-87 dBm                     -85 dBm                     -79 dBm
17:28:15	215		-87 dBm                     -93 dBm                     -77 dBm
17:28:18	216		-87 dBm                     -91 dBm                     -76 dBm
17:28:20	217		-90 dBm                     -84 dBm                     -76 dBm
17:28:22	218		-90 dBm                     -84 dBm                     -76 dBm
17:28:24	219		-90 dBm                     -82 dBm                     -76 dBm
17:28:27	220		-85 dBm                     -85 dBm                     -72 dBm
17:28:29	221		-85 dBm                     -85 dBm                     -78 dBm
17:28:31	222		-85 dBm                     -91 dBm                     -81 dBm
17:28:33	223		-85 dBm                     -91 dBm                     -81 dBm
17:28:36	224		-87 dBm                     -91 dBm                     -77 dBm
17:28:38	225		-85 dBm                     -88 dBm                     -77 dBm
17:28:40	226		-88 dBm                     -90 dBm                     -76 dBm
17:28:43	227		-88 dBm                     -90 dBm                     -76 dBm
17:28:45	228		-84 dBm                     -90 dBm                     -71 dBm
17:28:47	229		-84 dBm                     -90 dBm                     -77 dBm
17:28:49	230		-80 dBm                     -89 dBm                     -77 dBm
17:28:54	231		-83 dBm                     -89 dBm                     -86 dBm
17:28:57	232		-86 dBm                     -86 dBm                     -81 dBm
17:28:59	233		-86 dBm                     -86 dBm                     -81 dBm
17:29:01	234		-86 dBm                     -86 dBm                     -84 dBm
17:29:04	235		-88 dBm                     -86 dBm                     -84 dBm
17:29:06	236		-88 dBm                     -86 dBm                     -84 dBm
17:29:08	237		-88 dBm                     -88 dBm                     -84 dBm
17:29:11	238		-90 dBm                     -88 dBm                     -79 dBm
17:29:13	239		-90 dBm                     -88 dBm                     -81 dBm
17:29:15	240		-90 dBm                     -88 dBm                     -83 dBm
17:29:17	241		-90 dBm                     -86 dBm                     -82 dBm
17:29:20	242		-90 dBm                     -91 dBm                     -82 dBm
17:29:22	243		-86 dBm                     -91 dBm                     -80 dBm
17:29:24	244		-87 dBm                     -91 dBm                     -80 dBm
17:29:26	245		-87 dBm                     -91 dBm                     -77 dBm
17:29:29	246		-87 dBm                     -87 dBm                     -79 dBm
17:29:31	247		-92 dBm                     -87 dBm                     -80 dBm
17:29:33	248		-92 dBm                     -85 dBm                     -75 dBm
17:29:36	249		-92 dBm                     -88 dBm                     -80 dBm
17:29:38	250		-92 dBm                     -85 dBm                     -83 dBm
17:29:40	251		-84 dBm                     -85 dBm                     -77 dBm
17:29:42	252		-84 dBm                     -85 dBm                     -77 dBm
Done!!
17:29:45	253		-83 dBm                     -85 dBm                     -77 dBm
17:29:48	254		-83 dBm                     -87 dBm                     -74 dBm
Done!!
Done!!
17:29:51	255		-82 dBm                     -87 dBm                     -76 dBm
17:29:53	256		-82 dBm                     -87 dBm                     -76 dBm
17:29:56	257		-83 dBm                     -87 dBm                     -76 dBm
Done!!
17:29:58	258		-86 dBm                     -87 dBm                     -76 dBm
Done!!
17:30:01	259		-86 dBm                     -87 dBm                     -76 dBm
17:30:04	260		-86 dBm                     -87 dBm                     -76 dBm
Done!!
