Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
16:51:34	164		-86 dBm                     -85 dBm                     -85 dBm
16:51:37	165		-86 dBm                     -85 dBm                     -85 dBm
16:51:39	166		-86 dBm                     -88 dBm                     -88 dBm
16:51:42	167		-91 dBm                     -86 dBm                     -88 dBm
16:51:44	168		-85 dBm                     -86 dBm                     -88 dBm
16:51:46	169		-85 dBm                     -89 dBm                     -89 dBm
16:51:49	170		-85 dBm                     -89 dBm                     -89 dBm
16:51:51	171		-85 dBm                     -89 dBm                     -89 dBm
16:51:54	172		-85 dBm                     -89 dBm                     -89 dBm
16:51:56	173		-85 dBm                     -89 dBm                     -88 dBm
16:52:02	174		-89 dBm                     -89 dBm                     -88 dBm
16:52:04	175		-89 dBm                     -89 dBm                     -91 dBm
16:52:07	176		-89 dBm                     -89 dBm                     -89 dBm
16:52:09	177		-89 dBm                     -89 dBm                     -89 dBm
16:52:11	178		-89 dBm                     -89 dBm                     -93 dBm
16:52:14	179		-89 dBm                     -89 dBm                     -93 dBm
16:52:16	180		-89 dBm                     -91 dBm                     -93 dBm
16:52:19	181		-89 dBm                     -91 dBm                     -93 dBm
16:52:21	182		-89 dBm                     -91 dBm                     -93 dBm
16:52:23	183		-89 dBm                     -91 dBm                     -93 dBm
16:52:26	184		-89 dBm                     -91 dBm                     -93 dBm
16:52:28	185		-89 dBm                     -91 dBm                     -93 dBm
16:52:31	186		-89 dBm                     -91 dBm                     -93 dBm
16:52:33	187		-89 dBm                     -91 dBm                     -93 dBm
16:52:35	188		-89 dBm                     -91 dBm                     -93 dBm
16:52:38	189		-89 dBm                     -91 dBm                     -92 dBm
16:52:40	190		-89 dBm                     -91 dBm                     -92 dBm
16:52:42	191		-89 dBm                     -91 dBm                     -92 dBm
16:52:45	192		-89 dBm                     -91 dBm                     -92 dBm
16:52:47	193		-89 dBm                     -91 dBm                     -92 dBm
16:52:50	194		-89 dBm                     -91 dBm                     -92 dBm
16:52:52	195		-89 dBm                     -91 dBm                     -92 dBm
16:52:55	196		-89 dBm                     -91 dBm                     -92 dBm
16:52:57	197		-89 dBm                     -91 dBm                     -92 dBm
16:52:59	198		-89 dBm                     -91 dBm                     -92 dBm
16:53:02	199		-89 dBm                     -91 dBm                     -92 dBm
16:53:04	200		-89 dBm                     -91 dBm                     -92 dBm
16:53:06	201		-89 dBm                     -91 dBm                     -92 dBm
16:53:09	202		-89 dBm                     -91 dBm                     -92 dBm
16:53:11	203		-89 dBm                     -91 dBm                     -92 dBm
16:53:14	204		-89 dBm                     -91 dBm                     -92 dBm
16:53:16	205		-89 dBm                     -91 dBm                     -92 dBm
16:53:18	206		-89 dBm                     -90 dBm                     -92 dBm
16:53:21	207		-89 dBm                     -90 dBm                     -92 dBm
16:53:23	208		-89 dBm                     -90 dBm                     -92 dBm
16:53:26	209		-89 dBm                     -90 dBm                     -92 dBm
16:53:28	210		-89 dBm                     -90 dBm                     -92 dBm
16:53:30	211		-89 dBm                     -90 dBm                     -92 dBm
16:53:33	212		-89 dBm                     -90 dBm                     -92 dBm
16:53:35	213		-89 dBm                     -90 dBm                     -92 dBm
16:53:37	214		-89 dBm                     -90 dBm                     -92 dBm
16:53:40	215		-89 dBm                     -90 dBm                     -92 dBm
16:53:42	216		-89 dBm                     -90 dBm                     -92 dBm
16:53:44	217		-89 dBm                     -90 dBm                     -92 dBm
16:53:47	218		-89 dBm                     -90 dBm                     -92 dBm
16:53:49	219		-89 dBm                     -90 dBm                     -92 dBm
16:53:52	220		-89 dBm                     -90 dBm                     -92 dBm
16:53:54	221		-89 dBm                     -90 dBm                     -92 dBm
16:53:56	222		-89 dBm                     -90 dBm                     -92 dBm
16:53:59	223		-89 dBm                     -90 dBm                     -92 dBm
16:54:01	224		-89 dBm                     -90 dBm                     -92 dBm
16:54:04	225		-89 dBm                     -90 dBm                     -92 dBm
16:54:06	226		-89 dBm                     -90 dBm                     -92 dBm
16:54:09	227		-89 dBm                     -90 dBm                     -92 dBm
16:54:11	228		-89 dBm                     -90 dBm                     -92 dBm
16:54:13	229		-89 dBm                     -90 dBm                     -92 dBm
16:54:16	230		-89 dBm                     -90 dBm                     -92 dBm
16:54:18	231		-89 dBm                     -90 dBm                     -92 dBm
16:54:20	232		-89 dBm                     -90 dBm                     -92 dBm
16:54:23	233		-89 dBm                     -90 dBm                     -92 dBm
16:54:25	234		-89 dBm                     -90 dBm                     -92 dBm
16:54:27	235		-89 dBm                     -90 dBm                     -92 dBm
16:54:30	236		-89 dBm                     -90 dBm                     -92 dBm
16:54:32	237		-89 dBm                     -90 dBm                     -92 dBm
16:54:35	238		-89 dBm                     -90 dBm                     -92 dBm
