Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
11:31:56	152		-66 dBm                     -79 dBm                     -54 dBm
11:31:58	153		-65 dBm                     -80 dBm                     -54 dBm
11:32:01	154		-71 dBm                     -78 dBm                     -55 dBm
11:32:03	155		-68 dBm                     -77 dBm                     -58 dBm
11:32:06	156		-72 dBm                     -82 dBm                     -64 dBm
11:32:08	157		-62 dBm                     -80 dBm                     -66 dBm
11:32:11	158		-65 dBm                     -78 dBm                     -72 dBm
11:32:13	159		-64 dBm                     -78 dBm                     -66 dBm
11:32:15	160		-72 dBm                     -84 dBm                     -71 dBm
11:32:18	161		-63 dBm                     -84 dBm                     -71 dBm
11:32:20	162		-67 dBm                     -78 dBm                     -70 dBm
11:32:23	163		-64 dBm                     -74 dBm                     -65 dBm
11:32:25	164		-68 dBm                     -80 dBm                     -70 dBm
11:32:27	165		-69 dBm                     -80 dBm                     -68 dBm
11:32:30	166		-65 dBm                     -80 dBm                     -68 dBm
11:32:32	167		-65 dBm                     -78 dBm                     -68 dBm
11:32:34	168		-63 dBm                     -78 dBm                     -69 dBm
11:32:37	169		-64 dBm                     -80 dBm                     -69 dBm
11:32:39	170		-64 dBm                     -80 dBm                     -71 dBm
11:32:42	171		-65 dBm                     -80 dBm                     -68 dBm
11:32:44	172		-68 dBm                     -77 dBm                     -67 dBm
11:32:47	173		-66 dBm                     -75 dBm                     -71 dBm
11:32:49	174		-64 dBm                     -75 dBm                     -68 dBm
11:32:51	175		-64 dBm                     -78 dBm                     -74 dBm
11:32:54	176		-63 dBm                     -72 dBm                     -74 dBm
11:32:56	177		-65 dBm                     -78 dBm                     -68 dBm
11:32:59	178		-77 dBm                     -78 dBm                     -74 dBm
11:33:01	179		-58 dBm                     -75 dBm                     -67 dBm
11:33:03	180		-62 dBm                     -87 dBm                     -76 dBm
11:33:06	181		-63 dBm                     -76 dBm                     -76 dBm
11:33:08	182		-67 dBm                     -79 dBm                     -68 dBm
Done!!
11:33:11	183		-67 dBm                     -79 dBm                     -70 dBm
