Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
16:41:16	187		-91 dBm                     -89 dBm                     -91 dBm
16:41:19	188		-91 dBm                     -89 dBm                     -91 dBm
16:41:21	189		-91 dBm                     -89 dBm                     -91 dBm
16:41:24	190		-91 dBm                     -89 dBm                     -91 dBm
16:41:26	191		-91 dBm                     -89 dBm                     -91 dBm
16:41:28	192		-91 dBm                     -89 dBm                     -91 dBm
16:41:31	193		-91 dBm                     -89 dBm                     -91 dBm
16:41:35	194		-91 dBm                     -89 dBm                     -91 dBm
16:41:37	195		-91 dBm                     -89 dBm                     -91 dBm
16:41:40	196		-91 dBm                     -89 dBm                     -91 dBm
16:41:42	197		-91 dBm                     -89 dBm                     -91 dBm
16:41:46	198		-91 dBm                     -89 dBm                     -91 dBm
16:41:49	199		-91 dBm                     -89 dBm                     -91 dBm
16:41:51	200		-91 dBm                     -89 dBm                     -91 dBm
16:41:53	201		-91 dBm                     -89 dBm                     -91 dBm
16:41:56	202		-91 dBm                     -89 dBm                     -91 dBm
16:41:58	203		-91 dBm                     -89 dBm                     -91 dBm
16:42:00	204		-91 dBm                     -89 dBm                     -91 dBm
16:42:03	205		-91 dBm                     -89 dBm                     -91 dBm
16:42:05	206		-91 dBm                     -89 dBm                     -91 dBm
16:42:08	207		-91 dBm                     -89 dBm                     -91 dBm
16:42:10	208		-91 dBm                     -89 dBm                     -91 dBm
16:42:12	209		-91 dBm                     -89 dBm                     -91 dBm
16:42:15	210		-91 dBm                     -89 dBm                     -91 dBm
16:42:17	211		-91 dBm                     -89 dBm                     -91 dBm
16:42:20	212		-91 dBm                     -89 dBm                     -91 dBm
16:42:22	213		-91 dBm                     -89 dBm                     -91 dBm
16:42:24	214		-91 dBm                     -89 dBm                     -91 dBm
16:42:27	215		-91 dBm                     -89 dBm                     -91 dBm
16:42:29	216		-91 dBm                     -89 dBm                     -91 dBm
16:42:32	217		-91 dBm                     -89 dBm                     -91 dBm
16:42:34	218		-91 dBm                     -89 dBm                     -91 dBm
16:42:36	219		-91 dBm                     -89 dBm                     -91 dBm
16:42:39	220		-91 dBm                     -89 dBm                     -91 dBm
16:42:41	221		-91 dBm                     -89 dBm                     -91 dBm
16:42:44	222		-91 dBm                     -89 dBm                     -91 dBm
16:42:46	223		-91 dBm                     -89 dBm                     -91 dBm
16:42:49	224		-91 dBm                     -89 dBm                     -91 dBm
16:42:51	225		-91 dBm                     -89 dBm                     -91 dBm
16:42:53	226		-91 dBm                     -89 dBm                     -91 dBm
16:42:56	227		-91 dBm                     -89 dBm                     -91 dBm
16:42:58	228		-91 dBm                     -89 dBm                     -91 dBm
16:43:01	229		-91 dBm                     -89 dBm                     -91 dBm
16:43:03	230		-91 dBm                     -89 dBm                     -91 dBm
16:43:06	231		-91 dBm                     -89 dBm                     -91 dBm
16:43:08	232		-91 dBm                     -89 dBm                     -91 dBm
16:43:10	233		-91 dBm                     -89 dBm                     -91 dBm
16:43:13	234		-91 dBm                     -89 dBm                     -91 dBm
16:43:15	235		-91 dBm                     -89 dBm                     -91 dBm
